epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8649,0.92737,1.68195,1.22462,0.5986,0.65868,0.61393,0.40309,1.07853,1.44116,1.61413,0.000366936,0.000366936,0.000366936
2,62.4646,0.94137,1.11439,1.26254,0.64916,0.64311,0.63489,0.45906,0.93284,1.39897,1.42181,0.000737089,0.000737089,0.000737089
3,91.3751,0.86865,0.99532,1.20991,0.51231,0.4946,0.46122,0.33928,0.96022,4.54606,1.41022,0.00110652,0.00110652,0.00110652
4,120.116,0.88855,0.95384,1.22452,0.53703,0.59786,0.66589,0.47829,0.94869,1.75154,1.4404,0.00110856,0.00110856,0.00110856
5,148.73,0.8449,0.86571,1.18329,0.79203,0.77162,0.82426,0.66258,0.73725,0.9693,1.22593,0.00110666,0.00110666,0.00110666
6,177.521,0.83387,0.84744,1.1863,0.71786,0.79439,0.82722,0.61653,0.83158,0.85273,1.32082,0.00110423,0.00110423,0.00110423
7,205.717,0.79918,0.80696,1.15606,0.71903,0.78929,0.83748,0.67984,0.6739,0.786,1.15772,0.00110126,0.00110126,0.00110126
8,234.593,0.77311,0.76031,1.14474,0.8287,0.82951,0.84404,0.69428,0.63716,0.65863,1.131,0.00109776,0.00109776,0.00109776
9,263.093,0.76527,0.77477,1.14634,0.80421,0.80583,0.85259,0.69053,0.66306,0.6463,1.15281,0.00109372,0.00109372,0.00109372
10,291.735,0.74676,0.74289,1.12865,0.80317,0.81939,0.84602,0.68741,0.67683,0.84908,1.16904,0.00108916,0.00108916,0.00108916
11,320.064,0.74207,0.72021,1.11731,0.79552,0.7899,0.84416,0.69345,0.69976,0.71136,1.13263,0.00108408,0.00108408,0.00108408
12,348.489,0.72986,0.71977,1.12114,0.82184,0.83291,0.88394,0.74508,0.58615,0.5864,1.07043,0.00107849,0.00107849,0.00107849
13,377.002,0.71139,0.69989,1.10514,0.79703,0.85211,0.8677,0.73032,0.59564,0.63736,1.0807,0.00107238,0.00107238,0.00107238
14,405.186,0.71744,0.68189,1.1137,0.83993,0.83971,0.86573,0.74087,0.56697,0.55629,1.07313,0.00106577,0.00106577,0.00106577
15,433.644,0.69932,0.67848,1.1018,0.81755,0.86654,0.87752,0.73436,0.69356,0.56906,1.12791,0.00105866,0.00105866,0.00105866
16,462.119,0.69854,0.65476,1.09919,0.85844,0.8103,0.87859,0.74823,0.59128,0.58148,1.08967,0.00105106,0.00105106,0.00105106
17,490.77,0.68112,0.6522,1.0846,0.84682,0.85442,0.89579,0.77672,0.55256,0.52108,1.03711,0.00104298,0.00104298,0.00104298
