epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.175,0.96703,4.31001,0.01058,0.75912,0.79669,0.82994,0.6477,0.82482,1.11046,0.01407,0.000369907,0.000369907,0.000369907
2,345.059,1.02717,1.10952,0.01098,0.78301,0.78523,0.82695,0.65131,0.79584,0.80163,0.01336,0.000740059,0.000740059,0.000740059
3,513.282,1.02577,1.0062,0.01104,0.81408,0.88577,0.85289,0.63656,0.86016,0.70065,0.01438,0.00110949,0.00110949,0.00110949
4,680.707,1.01104,0.86554,0.01109,0.79342,0.79168,0.84953,0.66531,0.78659,0.64712,0.01323,0.00110856,0.00110856,0.00110856
5,848.408,0.97653,0.81501,0.01044,0.76929,0.81942,0.84896,0.69203,0.72383,0.61452,0.01218,0.00110666,0.00110666,0.00110666
6,1015.23,0.93938,0.81994,0.01009,0.76529,0.83297,0.85203,0.69023,0.71195,0.66193,0.01195,0.00110423,0.00110423,0.00110423
7,1180.93,0.90716,0.78322,0.00962,0.8145,0.84576,0.88155,0.70108,0.6852,0.6188,0.01141,0.00110126,0.00110126,0.00110126
8,1347.53,0.9007,0.73677,0.00957,0.84494,0.90402,0.87795,0.72204,0.69405,0.49169,0.01169,0.00109776,0.00109776,0.00109776
9,1512.78,0.88343,0.70937,0.00935,0.8329,0.88051,0.88762,0.72763,0.67075,0.50403,0.01118,0.00109372,0.00109372,0.00109372
10,1679.75,0.84791,0.71244,0.00897,0.83747,0.89309,0.89025,0.73359,0.65377,0.48181,0.01095,0.00108916,0.00108916,0.00108916
11,1846.17,0.81767,0.67786,0.00858,0.83924,0.87554,0.89051,0.74386,0.6167,0.53624,0.01031,0.00108408,0.00108408,0.00108408
12,2012.7,0.83428,0.68084,0.00875,0.83941,0.88124,0.9032,0.74296,0.69694,0.51669,0.0119,0.00107849,0.00107849,0.00107849
13,2179.26,0.8178,0.67143,0.00848,0.87689,0.87489,0.90831,0.76109,0.61644,0.47037,0.01034,0.00107238,0.00107238,0.00107238
14,2346.26,0.81041,0.65484,0.00845,0.86135,0.8635,0.91,0.76523,0.63524,0.47978,0.01063,0.00106577,0.00106577,0.00106577
15,2512.25,0.80161,0.62922,0.00836,0.86147,0.9051,0.90604,0.76025,0.59352,0.44064,0.00992,0.00105866,0.00105866,0.00105866
16,2677.31,0.78248,0.61919,0.00821,0.83444,0.89016,0.89075,0.75799,0.58458,0.47533,0.00977,0.00105106,0.00105106,0.00105106
17,2843.23,0.77713,0.62542,0.00804,0.8551,0.88271,0.89782,0.76132,0.58071,0.4689,0.00971,0.00104298,0.00104298,0.00104298
18,3010.09,0.77156,0.60992,0.00817,0.85137,0.89936,0.91593,0.77226,0.58452,0.45353,0.00975,0.00103442,0.00103442,0.00103442
19,3176.66,0.76444,0.59047,0.00803,0.84308,0.88697,0.90544,0.77382,0.56534,0.46826,0.00941,0.00102539,0.00102539,0.00102539
20,3342.59,0.76054,0.59061,0.00811,0.84819,0.87751,0.90024,0.74741,0.62042,0.48905,0.01032,0.0010159,0.0010159,0.0010159
21,3508.32,0.7495,0.57235,0.00786,0.84099,0.904,0.91717,0.78934,0.5681,0.47246,0.00951,0.00100597,0.00100597,0.00100597
22,3674.22,0.75694,0.57589,0.00794,0.84204,0.89486,0.90901,0.77601,0.55734,0.4603,0.00933,0.000995597,0.000995597,0.000995597
23,3840.08,0.75147,0.58105,0.00788,0.85307,0.89709,0.91369,0.78213,0.55782,0.4183,0.00928,0.000984795,0.000984795,0.000984795
24,4005.77,0.75341,0.56997,0.00793,0.87093,0.88113,0.91222,0.78417,0.55522,0.44824,0.00929,0.000973575,0.000973575,0.000973575
25,4171.43,0.72206,0.5382,0.00749,0.89987,0.88154,0.9181,0.79358,0.54662,0.41268,0.0091,0.000961948,0.000961948,0.000961948
26,4338.1,0.71975,0.53522,0.00749,0.86583,0.91588,0.92804,0.80515,0.54812,0.43188,0.00912,0.000949925,0.000949925,0.000949925
27,4502.76,0.7224,0.54369,0.00762,0.86313,0.90787,0.92258,0.79531,0.55218,0.42141,0.0092,0.000937518,0.000937518,0.000937518
28,4668.59,0.72367,0.52691,0.00738,0.85247,0.91998,0.92034,0.80219,0.52691,0.43164,0.00875,0.00092474,0.00092474,0.00092474
29,4834.79,0.71344,0.54621,0.00742,0.87167,0.9088,0.92514,0.80628,0.54566,0.41501,0.00904,0.000911603,0.000911603,0.000911603
30,5001.2,0.70329,0.50819,0.00727,0.8647,0.88449,0.90877,0.79376,0.53459,0.44115,0.00892,0.00089812,0.00089812,0.00089812
