epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.873,0.91312,0.52851,0.00985,0.69458,0.76929,0.77453,0.6079,0.79444,0.3063,0.01343,0.000369907,0.000369907,0.000369907
2,347.58,0.94655,0.42463,0.01011,0.67841,0.79765,0.79083,0.64202,0.74397,0.31016,0.01247,0.000740059,0.000740059,0.000740059
3,515.931,0.92559,0.41395,0.00988,0.83113,0.84829,0.86742,0.7006,0.71994,0.2196,0.0121,0.00110949,0.00110949,0.00110949
4,684.414,0.9187,0.37418,0.01001,0.79651,0.83564,0.84792,0.69852,0.70134,0.22288,0.01178,0.00110856,0.00110856,0.00110856
5,850.913,0.86503,0.34317,0.00914,0.80691,0.85284,0.87126,0.70018,0.65925,0.1941,0.01106,0.00110666,0.00110666,0.00110666
6,1019.46,0.84264,0.32415,0.00894,0.78853,0.84436,0.86456,0.71828,0.63817,0.21191,0.01073,0.00110423,0.00110423,0.00110423
7,1187.74,0.81969,0.30543,0.00868,0.84717,0.81996,0.89083,0.72524,0.66003,0.17818,0.011,0.00110126,0.00110126,0.00110126
8,1355.74,0.79403,0.28622,0.00844,0.85058,0.86266,0.88534,0.75015,0.59161,0.18326,0.00991,0.00109776,0.00109776,0.00109776
9,1523.61,0.79089,0.28457,0.00838,0.82767,0.84857,0.9063,0.7419,0.64157,0.1863,0.01072,0.00109372,0.00109372,0.00109372
10,1690.52,0.77537,0.2845,0.00819,0.83223,0.87386,0.90807,0.76004,0.61162,0.17015,0.01024,0.00108916,0.00108916,0.00108916
11,1856.67,0.7542,0.27835,0.00795,0.79814,0.86546,0.87125,0.73308,0.58697,0.18255,0.00984,0.00108408,0.00108408,0.00108408
12,2024.07,0.75252,0.26686,0.00787,0.83882,0.85989,0.89693,0.7487,0.65625,0.16985,0.01124,0.00107849,0.00107849,0.00107849
13,2190.89,0.77207,0.28262,0.0081,0.76191,0.87229,0.8763,0.73194,0.61955,0.20986,0.01035,0.00107238,0.00107238,0.00107238
14,2358.55,0.7369,0.2668,0.0077,0.81331,0.86524,0.88731,0.75807,0.57491,0.1768,0.0096,0.00106577,0.00106577,0.00106577
15,2525.79,0.73575,0.25482,0.00768,0.85516,0.87492,0.90923,0.78077,0.55813,0.14369,0.00929,0.00105866,0.00105866,0.00105866
16,2693.85,0.71184,0.25012,0.00748,0.86665,0.89968,0.91557,0.78331,0.57632,0.15425,0.00963,0.00105106,0.00105106,0.00105106
17,2861.89,0.72072,0.248,0.0075,0.86957,0.87263,0.9117,0.78374,0.55714,0.15377,0.00923,0.00104298,0.00104298,0.00104298
18,3029.38,0.70595,0.23258,0.0075,0.84813,0.90299,0.91559,0.78515,0.54736,0.14722,0.00906,0.00103442,0.00103442,0.00103442
19,3197.47,0.7023,0.23143,0.0075,0.85501,0.87508,0.91227,0.7853,0.55109,0.15999,0.00916,0.00102539,0.00102539,0.00102539
20,3365.83,0.70215,0.23581,0.00753,0.86817,0.88173,0.9213,0.78896,0.56098,0.13825,0.00932,0.0010159,0.0010159,0.0010159
21,3534.08,0.67546,0.22203,0.00711,0.85186,0.90322,0.91062,0.78534,0.53567,0.15043,0.00893,0.00100597,0.00100597,0.00100597
22,3700.53,0.69063,0.22514,0.00731,0.88436,0.88976,0.92309,0.80258,0.52765,0.1419,0.0088,0.000995597,0.000995597,0.000995597
23,3867.07,0.68808,0.23366,0.00727,0.83253,0.91648,0.91744,0.7964,0.5184,0.14786,0.00863,0.000984795,0.000984795,0.000984795
24,4033.51,0.67249,0.21691,0.00715,0.84361,0.88844,0.91091,0.78982,0.52918,0.14425,0.00878,0.000973575,0.000973575,0.000973575
25,4199.59,0.66916,0.21578,0.00703,0.86476,0.92381,0.91559,0.78797,0.55941,0.13814,0.00936,0.000961948,0.000961948,0.000961948
26,4366.37,0.67338,0.22117,0.00708,0.8581,0.90353,0.93007,0.80962,0.51601,0.13927,0.0086,0.000949925,0.000949925,0.000949925
27,4533.7,0.65466,0.21016,0.00694,0.8568,0.89618,0.9031,0.78518,0.518,0.14623,0.00863,0.000937518,0.000937518,0.000937518
28,4699.76,0.65978,0.20894,0.00685,0.8704,0.90422,0.91647,0.79971,0.51636,0.15066,0.00862,0.00092474,0.00092474,0.00092474
29,4866.62,0.64849,0.21689,0.00684,0.84935,0.88547,0.90965,0.79443,0.51971,0.1797,0.00866,0.000911603,0.000911603,0.000911603
