epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.155,0.91453,0.26114,0.00991,0.69816,0.69592,0.73588,0.56509,0.78079,0.18692,0.01303,0.000369907,0.000369907,0.000369907
2,348.925,0.93456,0.21948,0.01001,0.65307,0.76612,0.79058,0.64152,0.75948,0.154,0.01282,0.000740059,0.000740059,0.000740059
3,518.558,0.9193,0.20607,0.0098,0.77668,0.83312,0.82899,0.66852,0.72958,0.12139,0.01226,0.00110949,0.00110949,0.00110949
4,687.595,0.89508,0.18279,0.00975,0.72288,0.79883,0.84183,0.67135,0.72728,0.12223,0.01223,0.00110856,0.00110856,0.00110856
5,857.474,0.8447,0.16641,0.00899,0.75832,0.78204,0.86639,0.70076,0.68945,0.11684,0.01142,0.00110666,0.00110666,0.00110666
6,1027.13,0.84318,0.16242,0.00902,0.80737,0.85906,0.87344,0.71476,0.65925,0.09423,0.01108,0.00110423,0.00110423,0.00110423
7,1196.38,0.80968,0.15012,0.00864,0.83066,0.86772,0.88864,0.66348,0.85527,0.09177,0.01456,0.00110126,0.00110126,0.00110126
8,1365.46,0.80017,0.14415,0.00853,0.78742,0.86091,0.88252,0.74607,0.60534,0.08692,0.01014,0.00109776,0.00109776,0.00109776
9,1534.65,0.79102,0.13983,0.0084,0.81194,0.86448,0.88964,0.7249,0.65296,0.08316,0.01097,0.00109372,0.00109372,0.00109372
10,1703.85,0.76965,0.14008,0.00817,0.83744,0.87673,0.89206,0.74807,0.63244,0.07934,0.01062,0.00108916,0.00108916,0.00108916
11,1873.53,0.74461,0.13242,0.00783,0.80329,0.8305,0.87733,0.72106,0.63522,0.10192,0.0107,0.00108408,0.00108408,0.00108408
12,2042.32,0.74526,0.13537,0.00787,0.76,0.84454,0.88785,0.7497,0.57533,0.09525,0.00969,0.00107849,0.00107849,0.00107849
13,2211.65,0.73712,0.13072,0.00769,0.83784,0.88868,0.89082,0.75674,0.57302,0.0777,0.00948,0.00107238,0.00107238,0.00107238
14,2380.98,0.72805,0.1283,0.00764,0.83275,0.86541,0.88429,0.75097,0.57785,0.08036,0.00964,0.00106577,0.00106577,0.00106577
15,2550.41,0.71758,0.11948,0.00754,0.85992,0.87314,0.90049,0.75903,0.57189,0.07284,0.0095,0.00105866,0.00105866,0.00105866
16,2719.59,0.72547,0.12048,0.00771,0.85106,0.85466,0.89325,0.77178,0.53691,0.07429,0.00898,0.00105106,0.00105106,0.00105106
17,2887.65,0.70551,0.12114,0.00735,0.84259,0.86023,0.90147,0.77703,0.53638,0.07356,0.00896,0.00104298,0.00104298,0.00104298
18,3057.22,0.70619,0.11458,0.00755,0.84605,0.90269,0.90916,0.78238,0.53011,0.06841,0.00884,0.00103442,0.00103442,0.00103442
19,3225.63,0.69332,0.11228,0.00735,0.84687,0.84083,0.89939,0.77558,0.54017,0.0793,0.00902,0.00102539,0.00102539,0.00102539
20,3394.85,0.70934,0.12043,0.00761,0.82568,0.84234,0.89427,0.75628,0.59055,0.08386,0.00981,0.0010159,0.0010159,0.0010159
21,3562.93,0.69417,0.11891,0.00733,0.85376,0.89689,0.90208,0.77583,0.54497,0.07097,0.00911,0.00100597,0.00100597,0.00100597
22,3729.91,0.68615,0.11223,0.0073,0.84752,0.87839,0.90595,0.76113,0.5824,0.0718,0.00971,0.000995597,0.000995597,0.000995597
23,3896.44,0.68867,0.11121,0.00732,0.85554,0.88973,0.92173,0.79539,0.53577,0.06593,0.00891,0.000984795,0.000984795,0.000984795
24,4065.01,0.68086,0.10806,0.00726,0.87917,0.87501,0.92571,0.79599,0.53856,0.06918,0.009,0.000973575,0.000973575,0.000973575
25,4233.24,0.67169,0.10353,0.00706,0.86181,0.88655,0.91245,0.79067,0.53087,0.06913,0.00885,0.000961948,0.000961948,0.000961948
26,4401.3,0.6626,0.10643,0.00697,0.86571,0.9058,0.93355,0.81433,0.5093,0.06723,0.00848,0.000949925,0.000949925,0.000949925
27,4568.38,0.65229,0.10455,0.00692,0.84235,0.8956,0.91835,0.80412,0.51529,0.06274,0.00858,0.000937518,0.000937518,0.000937518
28,4736.31,0.65493,0.10212,0.00678,0.86662,0.9117,0.90635,0.78581,0.52212,0.06322,0.00868,0.00092474,0.00092474,0.00092474
29,4904.24,0.64849,0.10009,0.00681,0.87824,0.89042,0.92155,0.80576,0.50579,0.06314,0.00843,0.000911603,0.000911603,0.000911603
30,5072.04,0.64074,0.0977,0.00672,0.86451,0.8927,0.91399,0.79737,0.52879,0.06446,0.00883,0.00089812,0.00089812,0.00089812
31,5238.63,0.64496,0.10713,0.00684,0.87267,0.89094,0.91555,0.79445,0.50461,0.06495,0.00838,0.000884305,0.000884305,0.000884305
32,5405.9,0.64231,0.10195,0.00672,0.84766,0.91983,0.92199,0.80493,0.51218,0.06317,0.00851,0.00087017,0.00087017,0.00087017
33,5572.65,0.63123,0.09492,0.00657,0.88283,0.90015,0.92307,0.80665,0.50281,0.0629,0.00839,0.00085573,0.00085573,0.00085573
34,5741.28,0.62265,0.096,0.00648,0.86276,0.90895,0.9172,0.80112,0.50254,0.06135,0.00837,0.000841,0.000841,0.000841
35,5907.59,0.62594,0.09771,0.00658,0.87543,0.89159,0.92314,0.80546,0.51025,0.07215,0.00852,0.000825993,0.000825993,0.000825993
36,6074.97,0.61131,0.09455,0.00636,0.85651,0.88419,0.93026,0.81828,0.48109,0.06854,0.00799,0.000810725,0.000810725,0.000810725
37,6243.68,0.60855,0.09103,0.00638,0.87267,0.88982,0.92229,0.80769,0.49548,0.06366,0.00827,0.00079521,0.00079521,0.00079521
38,6411.71,0.60373,0.08696,0.00636,0.88171,0.89017,0.9271,0.81514,0.4867,0.05762,0.00808,0.000779464,0.000779464,0.000779464
39,6579.92,0.59608,0.0884,0.00619,0.8799,0.88368,0.92048,0.8095,0.47497,0.06465,0.0079,0.000763503,0.000763503,0.000763503
40,6748.82,0.59565,0.08461,0.00615,0.87923,0.9021,0.93513,0.82606,0.47867,0.05953,0.00795,0.000747342,0.000747342,0.000747342
41,6916.46,0.59207,0.08368,0.00623,0.87137,0.89963,0.92889,0.81467,0.49341,0.06141,0.0082,0.000730997,0.000730997,0.000730997
42,7084.52,0.58361,0.08225,0.00605,0.87443,0.91707,0.92924,0.81706,0.49555,0.06037,0.00822,0.000714485,0.000714485,0.000714485
43,7252.41,0.58649,0.08322,0.00617,0.87116,0.9142,0.92862,0.81662,0.484,0.0607,0.00806,0.000697821,0.000697821,0.000697821
44,7420.73,0.58819,0.08222,0.00616,0.88939,0.89765,0.93383,0.81819,0.49722,0.06017,0.00827,0.000681022,0.000681022,0.000681022
45,7588.95,0.57028,0.08492,0.00591,0.87675,0.8809,0.92333,0.81264,0.48414,0.06242,0.00809,0.000664104,0.000664104,0.000664104
46,7756.68,0.5765,0.0785,0.00604,0.8712,0.89289,0.92955,0.81964,0.47236,0.06212,0.00784,0.000647085,0.000647085,0.000647085
47,7923.6,0.57308,0.08312,0.00593,0.86965,0.90993,0.93575,0.8302,0.47307,0.05977,0.00786,0.000629981,0.000629981,0.000629981
48,8091.83,0.56346,0.07816,0.00583,0.91338,0.85399,0.93309,0.82512,0.47501,0.06467,0.00786,0.000612809,0.000612809,0.000612809
