epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.829,1.03718,3.04977,0.01171,0.64622,0.73816,0.78482,0.59472,0.87029,1.07641,0.0147,0.00037012,0.00037012,0.00037012
2,647.33,1.11326,1.15125,0.01268,0.67678,0.78548,0.77137,0.59659,0.87931,0.85179,0.01512,0.000740272,0.000740272,0.000740272
3,966.808,1.08001,1.04273,0.01217,0.72679,0.8047,0.83365,0.64861,0.82784,0.79781,0.01401,0.0011097,0.0011097,0.0011097
4,1283.8,1.06563,0.98768,0.01199,0.66865,0.81265,0.77831,0.6135,0.78108,0.75496,0.01322,0.00110856,0.00110856,0.00110856
5,1605.75,1.04542,0.91772,0.01174,0.76537,0.78209,0.82969,0.64097,0.86973,0.7578,0.01515,0.00110666,0.00110666,0.00110666
6,1923.9,1.00981,0.84704,0.0112,0.83358,0.79146,0.85495,0.67566,0.7822,0.59533,0.01327,0.00110423,0.00110423,0.00110423
7,2242.85,0.9521,0.82305,0.01044,0.80008,0.84343,0.85903,0.67572,0.76665,0.59291,0.01296,0.00110126,0.00110126,0.00110126
8,2562.01,0.96432,0.81566,0.01065,0.8014,0.79986,0.85616,0.66631,0.83068,0.60592,0.01413,0.00109776,0.00109776,0.00109776
9,2881.61,0.94422,0.78503,0.01033,0.85123,0.86619,0.87106,0.7001,0.74405,0.55414,0.01259,0.00109372,0.00109372,0.00109372
10,3212.19,0.91129,0.77561,0.00993,0.79808,0.86139,0.88428,0.69952,0.76012,0.56491,0.01285,0.00108916,0.00108916,0.00108916
11,3535.59,0.90652,0.72778,0.00988,0.78026,0.86168,0.85903,0.68809,0.77745,0.59913,0.0133,0.00108408,0.00108408,0.00108408
12,3858.46,0.89984,0.71333,0.00978,0.80182,0.85072,0.88308,0.72946,0.66837,0.53827,0.01119,0.00107849,0.00107849,0.00107849
13,4181.85,0.87501,0.71334,0.00966,0.84459,0.87387,0.89625,0.73457,0.65305,0.49887,0.01095,0.00107238,0.00107238,0.00107238
14,4504.28,0.86602,0.67914,0.00932,0.7934,0.84528,0.87859,0.71422,0.68884,0.55133,0.01159,0.00106577,0.00106577,0.00106577
15,4827.33,0.85277,0.67392,0.00931,0.85136,0.85832,0.89257,0.74365,0.64272,0.48251,0.01077,0.00105866,0.00105866,0.00105866
16,5151.01,0.84772,0.6736,0.00925,0.81882,0.88564,0.88646,0.72364,0.66855,0.49307,0.01121,0.00105106,0.00105106,0.00105106
17,5474.58,0.82286,0.65214,0.00882,0.87828,0.84862,0.89031,0.74658,0.61892,0.47743,0.01037,0.00104298,0.00104298,0.00104298
18,5803.89,0.82537,0.65776,0.00896,0.83919,0.83916,0.8937,0.74737,0.61659,0.49532,0.01036,0.00103442,0.00103442,0.00103442
19,6129.3,0.80484,0.63433,0.0087,0.83103,0.88024,0.87602,0.73511,0.62699,0.47842,0.01049,0.00102539,0.00102539,0.00102539
20,6452.04,0.81897,0.63577,0.00908,0.85459,0.90247,0.8977,0.74046,0.71057,0.47882,0.01216,0.0010159,0.0010159,0.0010159
21,6774.51,0.7892,0.63048,0.00853,0.8362,0.88984,0.90485,0.76436,0.60686,0.47464,0.01016,0.00100597,0.00100597,0.00100597
22,7097.35,0.80703,0.60473,0.00878,0.83744,0.87123,0.886,0.72952,0.64855,0.49367,0.01091,0.000995597,0.000995597,0.000995597
23,7418.08,0.78586,0.61319,0.00849,0.86634,0.87845,0.90165,0.75967,0.60722,0.47477,0.01015,0.000984795,0.000984795,0.000984795
24,7742.09,0.78263,0.60568,0.00849,0.863,0.8861,0.90961,0.75635,0.62318,0.46402,0.01042,0.000973575,0.000973575,0.000973575
25,8064.06,0.77031,0.56852,0.00835,0.88002,0.86788,0.90149,0.75768,0.61186,0.44664,0.01022,0.000961948,0.000961948,0.000961948
26,8389.72,0.77236,0.58326,0.00835,0.88396,0.89268,0.90847,0.76087,0.59688,0.45024,0.00999,0.000949925,0.000949925,0.000949925
27,8713.41,0.76363,0.58138,0.00831,0.83414,0.8828,0.87976,0.74586,0.61771,0.47966,0.01029,0.000937518,0.000937518,0.000937518
28,9035.82,0.76036,0.57377,0.00812,0.86979,0.90133,0.90688,0.75554,0.59592,0.44432,0.00999,0.00092474,0.00092474,0.00092474
29,9357.78,0.75691,0.58438,0.00822,0.84268,0.8931,0.89368,0.7539,0.59939,0.45458,0.01001,0.000911603,0.000911603,0.000911603
30,9679.27,0.7489,0.56027,0.00797,0.86683,0.89835,0.913,0.77583,0.56363,0.41266,0.00941,0.00089812,0.00089812,0.00089812
31,9998.02,0.75241,0.54906,0.00809,0.87456,0.90724,0.89799,0.75208,0.62649,0.43805,0.01044,0.000884305,0.000884305,0.000884305
32,10314.2,0.73185,0.52007,0.00782,0.89211,0.90212,0.91393,0.77638,0.56265,0.41362,0.0094,0.00087017,0.00087017,0.00087017
33,10632.8,0.71378,0.53537,0.00756,0.87484,0.89437,0.92063,0.7858,0.57476,0.41991,0.00958,0.00085573,0.00085573,0.00085573
34,10952,0.72486,0.54464,0.00773,0.89344,0.88853,0.90913,0.76984,0.60265,0.47101,0.01009,0.000841,0.000841,0.000841
35,11268.2,0.71894,0.54059,0.00771,0.86475,0.92222,0.919,0.79024,0.55229,0.40719,0.00919,0.000825993,0.000825993,0.000825993
36,11586.6,0.71214,0.5278,0.00757,0.85561,0.89772,0.92228,0.7911,0.55108,0.42283,0.00918,0.000810725,0.000810725,0.000810725
37,11905.3,0.70008,0.51431,0.00762,0.87293,0.90165,0.91216,0.79254,0.55764,0.43143,0.0094,0.00079521,0.00079521,0.00079521
38,12223.5,0.71239,0.52107,0.0077,0.88415,0.88476,0.91486,0.79447,0.54593,0.4081,0.0091,0.000779464,0.000779464,0.000779464
39,12542.5,0.69968,0.52154,0.00744,0.88647,0.88278,0.91077,0.79371,0.54424,0.41807,0.00907,0.000763503,0.000763503,0.000763503
40,12860.9,0.69821,0.48831,0.00743,0.84714,0.90518,0.91562,0.79738,0.53722,0.43082,0.00894,0.000747342,0.000747342,0.000747342
41,13180,0.68539,0.48981,0.00741,0.88497,0.91677,0.92511,0.7989,0.54804,0.41418,0.00916,0.000730997,0.000730997,0.000730997
42,13499.8,0.69798,0.4971,0.00744,0.87131,0.91032,0.93004,0.8078,0.53256,0.39783,0.00889,0.000714485,0.000714485,0.000714485
43,13819.1,0.69034,0.47478,0.00735,0.87529,0.92327,0.91993,0.80232,0.52955,0.40476,0.00881,0.000697821,0.000697821,0.000697821
44,14135.9,0.69368,0.47462,0.00735,0.88481,0.90554,0.92339,0.79743,0.55943,0.40943,0.00934,0.000681022,0.000681022,0.000681022
45,14453,0.67713,0.47832,0.00721,0.8752,0.92788,0.92904,0.81499,0.53114,0.38566,0.00886,0.000664104,0.000664104,0.000664104
46,14771.5,0.66781,0.46276,0.00714,0.90089,0.89079,0.92539,0.81199,0.53004,0.40156,0.00886,0.000647085,0.000647085,0.000647085
47,15090.3,0.66163,0.44997,0.00707,0.87476,0.91451,0.91382,0.79213,0.53772,0.42368,0.00894,0.000629981,0.000629981,0.000629981
48,15408.5,0.64852,0.45911,0.00684,0.8625,0.92771,0.9232,0.80648,0.53082,0.41508,0.00888,0.000612809,0.000612809,0.000612809
49,15725.9,0.65894,0.45463,0.00701,0.89775,0.91429,0.92648,0.80709,0.53083,0.4034,0.00883,0.000595586,0.000595586,0.000595586
50,16042.9,0.65965,0.4405,0.00704,0.87708,0.92427,0.93163,0.81809,0.51159,0.39656,0.00852,0.000578329,0.000578329,0.000578329
51,16362.1,0.64958,0.44377,0.00697,0.88684,0.88554,0.90874,0.78935,0.53547,0.43383,0.00891,0.000561055,0.000561055,0.000561055
52,16678.7,0.6415,0.43176,0.00697,0.90126,0.89266,0.93214,0.82129,0.50765,0.42106,0.00846,0.000543781,0.000543781,0.000543781
53,16997.2,0.64272,0.43472,0.00687,0.90464,0.89725,0.92871,0.81354,0.52107,0.39138,0.00869,0.000526524,0.000526524,0.000526524
54,17315.2,0.63252,0.41445,0.00677,0.89927,0.88924,0.92733,0.81606,0.50856,0.40971,0.00847,0.000509301,0.000509301,0.000509301
55,17631.6,0.63255,0.4153,0.00676,0.8751,0.93506,0.93164,0.82056,0.51398,0.40189,0.00857,0.000492129,0.000492129,0.000492129
56,17948.8,0.63278,0.41743,0.00666,0.87245,0.91985,0.91194,0.80344,0.51652,0.44715,0.00861,0.000475025,0.000475025,0.000475025
57,18266.4,0.62811,0.41472,0.00662,0.88813,0.90715,0.93417,0.82244,0.50722,0.40239,0.00845,0.000458006,0.000458006,0.000458006
58,18583.2,0.60313,0.38613,0.0064,0.89717,0.90291,0.92878,0.82276,0.50842,0.41672,0.00846,0.000441088,0.000441088,0.000441088
59,18901.1,0.61743,0.40161,0.0066,0.89198,0.91188,0.92714,0.82014,0.50555,0.41429,0.00841,0.000424289,0.000424289,0.000424289
60,19218.6,0.5967,0.37608,0.0063,0.88502,0.90765,0.93237,0.82554,0.50171,0.4219,0.00835,0.000407625,0.000407625,0.000407625
61,19535.2,0.60328,0.38495,0.00648,0.88102,0.92053,0.92106,0.81908,0.49662,0.41072,0.00831,0.000391113,0.000391113,0.000391113
62,19852.5,0.6057,0.38411,0.00642,0.88782,0.90653,0.92108,0.81695,0.4953,0.43446,0.00824,0.000374768,0.000374768,0.000374768
63,20169.6,0.58792,0.37401,0.00626,0.90504,0.89828,0.92749,0.82202,0.50189,0.42646,0.00836,0.000358607,0.000358607,0.000358607
64,20485.7,0.5926,0.37836,0.00627,0.89,0.9101,0.92869,0.82356,0.4981,0.42333,0.00832,0.000342646,0.000342646,0.000342646
65,20802.6,0.59597,0.37201,0.00635,0.90885,0.89059,0.93555,0.83361,0.50475,0.41593,0.00843,0.0003269,0.0003269,0.0003269
66,21120.8,0.58276,0.35711,0.00611,0.90137,0.9012,0.92719,0.82632,0.49828,0.43485,0.00831,0.000311385,0.000311385,0.000311385
67,21437.1,0.58,0.35788,0.00609,0.8904,0.90405,0.9277,0.82416,0.50279,0.4322,0.00837,0.000296117,0.000296117,0.000296117
68,21752.9,0.58713,0.3588,0.00624,0.89505,0.91376,0.93163,0.82652,0.49729,0.43931,0.00827,0.00028111,0.00028111,0.00028111
